state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  PRNTO   Z_HE  RMSeh
-------------------------------------------------------------------------------------------------------------------
1(1)a       2.091  0.510  0.957  1.306  1.907  2.239  0.634  0.308  0.058  0.488  0.087  0.058  1.003  1.056  4.833
2(1)a       2.872  0.000  0.950  1.395  2.343  2.081  0.807  0.076  0.117  0.661  0.029  0.117  1.001  1.053  5.793
3(1)a       3.083  0.000  0.957  1.076  1.615  1.712  0.433  0.557  0.009  0.392  0.032  0.009  1.003  1.055  4.205
4(1)a       3.225  0.000  0.951  1.072  1.695  1.816  0.448  0.531  0.021  0.421  0.006  0.021  1.069  1.205  4.047
5(1)a       3.488  0.057  0.952  1.433  2.100  2.384  0.658  0.194  0.148  0.517  0.073  0.068  1.077  1.221  5.206
6(1)a       3.548  0.000  0.954  1.098  1.640  1.762  0.450  0.535  0.015  0.400  0.039  0.011  1.111  1.292  4.161
7(1)a       3.776  0.519  0.952  2.149  2.030  2.933  0.508  0.058  0.434  0.176  0.255  0.077  1.351  1.638  4.770
8(1)a       3.828  0.000  0.950  2.264  2.046  2.810  0.469  0.050  0.482  0.108  0.253  0.108  1.369  1.661  4.890
9(1)a       4.246  0.188  0.953  2.366  2.282  2.478  0.265  0.004  0.731  0.085  0.142  0.038  2.565  3.014  4.031
10(1)a      4.247  0.000  0.956  2.350  2.281  2.500  0.257  0.014  0.728  0.086  0.131  0.040  2.641  3.182  3.999
