state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  PRNTO   Z_HE  RMSeh
-------------------------------------------------------------------------------------------------------------------
1(1)a       2.611  0.503  0.954  1.252  1.678  1.950  0.506  0.456  0.038  0.376  0.092  0.038  1.000  1.046  4.249
2(1)a       3.608  0.000  0.972  1.042  1.479  1.501  0.323  0.669  0.008  0.303  0.012  0.008  1.014  1.070  3.450
3(1)a       3.845  0.000  0.965  1.102  1.423  1.474  0.319  0.669  0.011  0.262  0.049  0.008  1.129  1.291  3.679
4(1)a       4.167  0.000  0.956  1.289  1.702  2.020  0.522  0.435  0.042  0.372  0.096  0.054  1.065  1.199  4.354
5(1)a       4.401  0.024  0.959  2.312  1.938  2.744  0.556  0.006  0.439  0.120  0.369  0.066  2.289  2.831  4.238
6(1)a       4.416  0.000  0.961  2.250  1.946  2.825  0.564  0.019  0.417  0.148  0.350  0.066  2.332  2.810  4.245
7(1)a       4.571  0.803  0.957  1.959  1.656  2.709  0.646  0.181  0.173  0.180  0.382  0.085  1.075  1.238  4.730
8(1)a       4.751  0.000  0.956  2.058  1.602  2.629  0.640  0.169  0.190  0.125  0.429  0.086  1.076  1.234  4.689
9(1)a       5.124  0.000  0.953  1.597  2.257  2.457  0.859  0.015  0.125  0.587  0.147  0.126  1.638  1.817  5.446
10(1)a      5.152  0.136  0.956  1.605  2.253  2.473  0.855  0.017  0.128  0.580  0.148  0.128  1.617  1.803  5.446
