state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  PRNTO   Z_HE  RMSeh
-------------------------------------------------------------------------------------------------------------------
1(1)a       2.470  0.714  0.952  1.368  1.677  2.087  0.540  0.406  0.054  0.347  0.139  0.054  1.002  1.055  4.814
2(1)a       3.350  0.000  0.955  1.087  1.542  1.614  0.385  0.604  0.011  0.340  0.036  0.009  1.036  1.137  4.051
3(1)a       3.501  0.018  0.951  1.557  1.665  2.386  0.466  0.355  0.179  0.237  0.188  0.041  1.198  1.530  4.607
4(1)a       3.603  0.028  0.954  2.047  1.843  2.555  0.571  0.043  0.386  0.131  0.345  0.095  1.715  2.186  5.614
5(1)a       3.702  0.049  0.954  2.056  1.898  2.493  0.488  0.228  0.284  0.198  0.242  0.049  1.468  1.954  4.817
6(1)a       3.885  0.088  0.953  1.538  2.021  2.558  0.594  0.219  0.187  0.413  0.124  0.057  1.295  1.570  5.112
7(1)a       4.119  0.442  0.955  2.084  2.125  2.867  0.496  0.113  0.390  0.228  0.186  0.083  2.102  2.642  5.264
8(1)a       4.195  0.102  0.952  1.939  1.917  2.672  0.546  0.080  0.374  0.174  0.254  0.117  2.004  2.496  5.772
9(1)a       4.407  0.314  0.952  1.886  2.074  2.853  0.729  0.044  0.226  0.404  0.222  0.103  2.069  2.263  5.957
10(1)a      4.578  0.034  0.952  1.799  1.950  2.869  0.727  0.093  0.179  0.376  0.245  0.107  1.949  2.068  5.845
