state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  PRNTO   Z_HE  RMSeh
-------------------------------------------------------------------------------------------------------------------
1(1)a       3.060  0.234  0.954  1.073  1.257  1.265  0.206  0.789  0.005  0.162  0.039  0.005  1.026  1.127  3.083
2(1)a       3.391  0.003  0.952  2.494  2.461  2.061  0.031  0.000  0.969  0.004  0.026  0.002  2.010  2.060  2.841
3(1)a       3.394  0.390  0.952  2.485  2.457  2.077  0.031  0.005  0.965  0.005  0.024  0.001  2.029  2.105  2.831
4(1)a       3.509  0.000  0.952  1.166  1.247  1.329  0.233  0.751  0.016  0.139  0.085  0.009  1.057  1.214  3.460
5(1)a       3.699  0.000  0.952  1.043  1.254  1.239  0.191  0.807  0.002  0.165  0.024  0.002  1.000  1.048  2.903
6(1)a       3.745  0.000  0.951  1.099  2.471  1.611  0.949  0.018  0.032  0.916  0.001  0.032  1.000  1.049  5.328
7(1)a       3.767  0.006  0.954  1.099  2.464  1.621  0.945  0.023  0.032  0.911  0.002  0.032  1.000  1.046  5.328
8(1)a       3.939  0.001  0.950  2.151  1.265  2.139  0.733  0.183  0.084  0.039  0.641  0.054  1.031  1.145  5.329
9(1)a       3.968  0.000  0.956  2.470  1.263  1.785  0.869  0.028  0.103  0.006  0.797  0.066  1.023  1.108  5.673
10(1)a      3.976  0.001  0.952  1.446  1.247  1.639  0.380  0.589  0.032  0.111  0.247  0.022  1.076  1.249  4.161
