state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  PRNTO   Z_HE  RMSeh
-------------------------------------------------------------------------------------------------------------------
1(1)a'      2.327  0.571  0.953  1.256  1.804  2.104  0.569  0.385  0.046  0.444  0.079  0.046  1.000  1.046  4.602
2(1)a'      3.333  0.000  0.963  1.037  1.554  1.599  0.369  0.622  0.008  0.353  0.008  0.008  1.019  1.091  3.643
3(1)a'      3.613  0.000  0.953  1.354  2.118  2.277  0.698  0.195  0.107  0.569  0.060  0.068  1.091  1.286  5.132
4(1)a'      3.965  0.077  0.951  1.830  2.217  2.789  0.563  0.060  0.376  0.386  0.128  0.049  2.258  2.753  4.787
5(1)a'      4.062  0.000  0.954  1.957  2.154  2.927  0.560  0.045  0.395  0.317  0.186  0.057  2.628  2.995  4.692
6(1)a'      4.224  0.679  0.953  2.062  1.808  2.886  0.644  0.109  0.246  0.183  0.352  0.110  1.157  1.403  5.174
7(1)a'      4.360  0.000  0.951  2.214  1.831  2.793  0.580  0.085  0.336  0.106  0.361  0.113  1.138  1.352  5.068
8(1)a'      4.387  0.146  0.955  1.968  2.049  2.990  0.656  0.049  0.295  0.306  0.252  0.098  2.277  2.620  5.333
9(1)a'      4.523  0.000  0.956  1.839  2.130  2.877  0.728  0.034  0.238  0.407  0.213  0.108  2.124  2.288  5.535
10(1)a'     4.894  0.204  0.953  1.352  2.131  2.265  0.732  0.174  0.094  0.591  0.072  0.069  1.353  1.781  5.086
