state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  PRNTO   Z_HE  RMSeh
-------------------------------------------------------------------------------------------------------------------
1(1)a       2.339  1.335  0.954  1.554  1.783  2.445  0.556  0.312  0.132  0.318  0.166  0.072  1.041  1.161  5.550
2(1)a       3.336  0.000  0.953  1.110  1.585  1.696  0.412  0.569  0.018  0.357  0.040  0.015  1.041  1.160  4.533
3(1)a       3.412  0.002  0.951  2.387  1.916  2.633  0.521  0.031  0.448  0.044  0.358  0.119  1.203  1.408  7.655
4(1)a       3.443  1.177  0.953  2.115  1.896  2.929  0.514  0.116  0.370  0.141  0.287  0.085  1.215  1.456  7.102
5(1)a       3.551  0.000  0.954  1.160  1.718  1.917  0.445  0.502  0.053  0.391  0.019  0.034  1.384  1.710  4.946
6(1)a       3.647  0.001  0.952  1.468  2.074  2.442  0.683  0.205  0.112  0.483  0.079  0.121  1.530  1.888  6.851
7(1)a       3.796  0.001  0.957  1.086  1.530  1.602  0.380  0.608  0.011  0.334  0.038  0.008  1.119  1.292  4.248
8(1)a       4.169  0.050  0.939  2.230  2.190  2.756  0.439  0.005  0.556  0.175  0.202  0.062  2.972  3.356  5.376
9(1)a       4.172  0.000  0.932  2.211  2.182  2.785  0.445  0.014  0.541  0.179  0.198  0.068  2.886  3.269  5.250
10(1)a      4.225  0.580  0.948  2.038  2.138  2.940  0.464  0.070  0.465  0.237  0.171  0.056  1.892  2.423  6.647
