state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  PRNTO   Z_HE  RMSeh
-------------------------------------------------------------------------------------------------------------------
1(1)a       2.419  0.629  0.951  1.371  1.764  2.187  0.568  0.369  0.063  0.384  0.121  0.063  1.000  1.049  4.493
2(1)a       3.335  0.000  0.958  1.052  1.559  1.616  0.387  0.606  0.007  0.359  0.022  0.006  1.025  1.111  3.914
3(1)a       3.590  0.000  0.958  1.280  1.613  1.889  0.421  0.505  0.074  0.310  0.087  0.025  1.044  1.167  3.777
4(1)a       3.750  0.000  0.952  1.922  1.766  2.833  0.548  0.199  0.253  0.187  0.290  0.071  1.716  1.951  4.475
5(1)a       3.764  0.000  0.954  1.226  1.600  1.818  0.417  0.526  0.056  0.324  0.074  0.020  1.233  1.516  4.021
6(1)a       3.769  0.120  0.953  2.456  1.791  2.433  0.580  0.013  0.407  0.014  0.460  0.107  1.185  1.382  4.771
7(1)a       3.891  0.000  0.950  1.595  1.919  2.608  0.665  0.216  0.119  0.388  0.171  0.106  1.763  1.969  4.949
8(1)a       4.064  0.548  0.956  1.931  1.663  2.708  0.640  0.192  0.167  0.187  0.366  0.087  1.057  1.198  4.687
9(1)a       4.162  0.000  0.954  2.112  1.694  2.727  0.621  0.133  0.246  0.126  0.404  0.091  1.160  1.355  4.566
10(1)a      4.944  0.274  0.951  1.437  2.035  2.415  0.615  0.238  0.147  0.471  0.073  0.072  1.151  1.392  4.661
