state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  PRNTO   Z_HE  RMSeh
-------------------------------------------------------------------------------------------------------------------
1(1)a       2.180  0.823  0.950  1.566  1.884  2.550  0.639  0.252  0.109  0.370  0.160  0.109  1.001  1.054  5.156
2(1)a       3.049  0.000  0.969  1.570  2.305  2.358  0.717  0.079  0.204  0.541  0.051  0.125  1.043  1.139  5.660
3(1)a       3.291  0.000  0.953  1.247  1.677  1.946  0.472  0.474  0.054  0.360  0.075  0.037  1.065  1.230  4.493
4(1)a       3.478  0.001  0.952  2.033  1.855  2.935  0.589  0.144  0.267  0.167  0.287  0.135  1.112  1.307  5.412
5(1)a       3.488  0.217  0.958  1.793  1.950  2.873  0.781  0.067  0.152  0.405  0.300  0.076  1.907  2.115  5.529
6(1)a       3.606  0.176  0.951  1.768  2.146  2.791  0.408  0.197  0.395  0.292  0.040  0.076  2.168  2.460  4.781
7(1)a       3.712  0.000  0.950  1.055  1.688  1.795  0.464  0.525  0.011  0.437  0.017  0.011  1.010  1.085  3.988
8(1)a       3.735  0.038  0.950  1.130  1.650  1.796  0.442  0.530  0.028  0.387  0.038  0.017  1.179  1.446  4.251
9(1)a       4.077  0.006  0.952  2.223  2.094  2.863  0.412  0.069  0.519  0.128  0.218  0.066  2.866  3.206  4.591
10(1)a      4.202  0.217  0.951  2.365  2.104  2.651  0.362  0.029  0.609  0.060  0.235  0.066  2.137  2.822  4.458
