state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  PRNTO   Z_HE  RMSeh
-------------------------------------------------------------------------------------------------------------------
1(1)a       2.542  0.724  0.950  1.419  1.656  2.105  0.533  0.407  0.061  0.316  0.156  0.061  1.000  1.050  4.642
2(1)a       3.489  0.000  0.962  1.071  1.456  1.491  0.328  0.664  0.008  0.289  0.033  0.006  1.033  1.123  3.797
3(1)a       3.687  0.000  0.952  1.045  1.477  1.495  0.323  0.671  0.007  0.304  0.012  0.007  1.010  1.081  3.494
4(1)a       3.944  0.000  0.958  1.106  1.430  1.487  0.326  0.663  0.012  0.265  0.051  0.009  1.136  1.309  3.792
5(1)a       4.074  0.731  0.950  1.991  1.666  2.710  0.616  0.196  0.189  0.166  0.361  0.089  1.164  1.377  5.170
6(1)a       4.105  0.045  0.952  1.435  1.711  2.171  0.525  0.394  0.082  0.325  0.139  0.061  1.116  1.297  4.580
7(1)a       4.122  0.010  0.963  2.203  1.625  2.514  0.671  0.102  0.228  0.077  0.484  0.110  1.092  1.277  5.515
8(1)a       4.317  0.007  0.952  1.682  1.896  1.700  0.519  0.012  0.470  0.349  0.115  0.055  1.673  1.907  4.230
9(1)a       4.349  0.017  0.953  2.268  2.657  1.751  0.509  0.023  0.468  0.320  0.131  0.059  1.771  2.018  4.249
10(1)a      5.046  0.013  0.951  2.256  2.160  2.352  0.756  0.009  0.235  0.307  0.349  0.101  1.938  2.104  5.083
