state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  PRNTO   Z_HE  RMSeh
-------------------------------------------------------------------------------------------------------------------
1(1)a'      2.117  0.500  0.955  1.310  1.926  2.253  0.643  0.297  0.061  0.497  0.086  0.061  1.005  1.061  4.882
2(1)a'      2.834  0.000  0.959  1.365  2.397  1.971  0.817  0.049  0.134  0.707  0.019  0.090  1.030  1.121  5.738
3(1)a'      3.258  0.000  0.959  1.033  1.737  1.841  0.490  0.502  0.008  0.476  0.006  0.008  1.016  1.087  3.971
4(1)a'      3.414  0.055  0.953  1.415  2.091  2.366  0.651  0.203  0.146  0.520  0.070  0.061  1.052  1.175  5.164
5(1)a'      3.972  0.615  0.953  2.140  2.044  2.938  0.492  0.062  0.446  0.178  0.242  0.072  1.389  1.727  4.637
6(1)a'      4.049  0.000  0.952  2.193  2.112  2.859  0.452  0.056  0.492  0.149  0.203  0.100  1.542  1.930  4.754
7(1)a'      4.208  0.000  0.953  2.318  2.276  2.549  0.268  0.025  0.707  0.096  0.125  0.047  2.596  3.092  4.039
8(1)a'      4.221  0.247  0.953  2.359  2.252  2.523  0.286  0.006  0.707  0.087  0.159  0.040  2.281  2.743  4.058
9(1)a'      4.488  0.000  0.953  1.548  1.758  2.408  0.524  0.329  0.147  0.305  0.165  0.054  1.485  1.874  4.487
10(1)a'     4.661  0.026  0.954  1.091  2.332  1.795  0.881  0.106  0.012  0.833  0.006  0.043  1.088  1.282  5.540
