state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  PRNTO   Z_HE  RMSeh
-------------------------------------------------------------------------------------------------------------------
1(1)a       2.840  0.544  0.951  1.563  1.405  1.964  0.480  0.457  0.063  0.167  0.273  0.040  1.012  1.085  4.233
2(1)a       3.775  0.000  0.951  1.233  1.325  1.475  0.311  0.669  0.021  0.175  0.114  0.021  1.056  1.194  3.906
3(1)a       3.885  0.000  0.953  2.073  1.491  2.472  0.612  0.200  0.188  0.084  0.472  0.055  1.224  1.534  4.782
4(1)a       3.959  0.196  0.956  1.745  1.549  2.394  0.482  0.345  0.173  0.158  0.289  0.035  1.435  1.941  4.446
5(1)a       4.070  0.007  0.955  2.008  2.196  2.891  0.409  0.083  0.508  0.248  0.119  0.043  2.589  3.193  4.673
6(1)a       4.071  0.000  0.958  2.096  2.308  2.734  0.409  0.018  0.573  0.249  0.111  0.048  2.221  2.741  4.756
7(1)a       4.125  0.000  0.954  2.382  1.484  2.075  0.774  0.015  0.211  0.036  0.662  0.076  1.239  1.587  5.547
8(1)a       4.126  0.004  0.954  2.480  1.499  2.073  0.782  0.002  0.216  0.039  0.665  0.078  1.276  1.650  5.599
9(1)a       4.205  0.056  0.951  1.207  1.316  1.440  0.278  0.693  0.029  0.169  0.096  0.013  1.218  1.536  3.752
10(1)a      4.215  0.000  0.956  1.059  1.314  1.315  0.234  0.761  0.005  0.199  0.030  0.005  1.005  1.060  3.258
